英単語,意味,発音記号
do,"《疑問文・否定文を作る》 / 《否定命令文を作る》 / 《助動詞とbe動詞のどちらも含まない文に用いて付加疑問を作る》 / 《強意語として》 / 《文》《助動詞とbe動詞のどちらも含まない文に用いて倒置文を作る》 / 《あいづちを打つ場合に》 / 《先行する動詞またはそれを含む述部の代用》 / 《so,nor,neitherで始まる簡略文で》 / …‘を’『する』,行う,果たす / 《通例have done,時にbe doneの形で》…‘を’『終える』,済ませる / …‘を’作る,作り出す / …‘を’『処理する』,整える,片付ける / 〈学課〉‘を’『勉強する』,専攻する / 〈利益・害など〉‘を’与える,もたらす / 〈人〉‘に’『役立つ』,用が足りる(serve) / …の速度で進む,距離を行く / …‘を’見物する / 〈劇〉‘を’上演する;…‘の’役を演じる / …の役目(仕事)をする / 《おもに英》…‘を’だます,かつぐ / 《話》…をへとへとにさせる / 『する』;活動する / 《通例have done,時にbe doneの形で》(…を)『終える』,済ます《+『with』+『名』》 / 〈事が〉『運ぶ』;〈人が〉暮らしていく,健康である / 〈物が〉(…に)『間に合う』,十分である;〈人が〉(…に)役に立つ,向く《+『for』+『名』》 / 《複数形で》すべきこと / 〈C〉《おもに英》大宴会,大パーティー / 〈C〉《英話》詐欺,ぺてん ド(全音階の第1音)",du
any,"《疑問文・条件節で》『いくらかの』,何か,だれか;《否定文で》『少しも』,何も,だれも / 《肯定文で,単数名詞につけて》『どんな…でも』 / 《否定文で》『少し[も],だれも』;《疑問文・条件節で》(…の)『どれか』,いくらか,だれか《+『of』+『名』》 / 《肯定文で》『どれでも,だれでも』,少しでも;(…の)どれでも,だれでも《+『of』+『名』》 / 《比較級とともに用いて》『少しでも』,いくらかでも / 《米》《動詞を修飾して》少しは,少しでも",éni
your,"『あなた[がた]の』,君[たち]の / 《話》《しばしば非難や軽べつの意を込めて》君[たち]のいう,例の,いわゆる / 《一般に人を指して》人の / 《敬称の一部として》",júər
what,"《疑問代名詞》 / 《情報・種別・数量などを求めて》『何』,どんなもの(こと) / 《職業・地位・国籍などを尋ねて》どんな人,何をする人 / 《相手の言葉が聞きとれないときなどにその反復を求めて》 / 《関係代名詞》 / 《名詞節を導いて》『…するもの(こと)』 / 《副詞的に働く挿入節を導いて》『…なことには』 / 《A is to B what C is to Dの形で比例関係を表す》…が…に対するごとく / 《疑問形容詞》『何の』,何という,どの,どんな / 《感嘆文で》『何という』 / 《関係形容詞》…『するものは何でも』;…だけの / いかに,どれほど / 《驚き・怒り・当惑など》『なんだって』,なに,えっ,おや",(h)wʌt
has,haveの三人称単数現在,hæ’z
man,"〈C〉(成人の)『男』,男子;(男の)おとな / 〈U〉《冠詞をつけないで》(動物と区別して)『人類』,『人』,人間(mankind) / 〈C〉《性別に関係なく用いて》人;《否定文で》だれも / 《複数形で》従業員,雇い人;兵士,下士官 / 〈C〉夫,亭主(husband);《話》(内縁の夫,愛人など同棲している)男 / 〈C〉男らしい男,一人前の男 / 《the~,one’s~》うってつけの人,意にかなう人,適任者 / 〈U〉《男性に親しく呼び掛けて》君,おい / 《俗》《驚き・喜び・軽べつなどを表す間投詞として》おや,まあ,これは / 〈C〉(将棋・チェッカーなどの)こま / 〈C〉《the~》《米俗》権力者;警官 / 〈要さい・砲・船など〉‘に’人を配置する;〈地位・勤務など〉‘に’人をつける",mæ’n
could,conの過去形 / 《直説法過去》 / 《能力》…『することができた』 / 《潜在的傾向》…することがあった / 《従節でcanのすべての用法における時制の一致》 / 《仮定法》 / 《従節で》a)《現在の事実の反対》…『できる[ならば]』:b)(《過去の事実の反対》…『できていた[ならば]』 / 《主節で》a)《現在の事実の反対》…『できるだろうに』:b)《過去の事実の反対》…『できただろうに』 / 《控え目な表現・丁寧な表現》a)《可能性・推量》(平叙文で)もしかすると…かもしれない;(否定文で)…のはずがないのだが;(疑問文で)いったい…かしら:b)《許可の要請》(疑問文で)…してもよいでしょうか:c)《依頼》(疑問文で)…してくださいませんか,kúd
other,"《no,one,some,anyなどを伴って》『別の』,ほかの,違った / 《other thanの形で補語に用いて》…とは違った,…とは別の / 《the ~》(二者のうちの)『もう一方の』,他方の;『反対の』,向こう側の;(三者以上のうち)それ以外の,残りの / 『ほかのもの』,ほかの人[たち] / 《the ~》(二つの中で)『もう一方のもの』(『人』り,(三つ以上の中で)『これ以外のもの』(『人』),残りのもの(人) / 《『other』 『than』の形で》(…と)別の方法では,(…)ではなく",ʌ’ðər
than,"《比較級の後に用いて》…『より[も]』,に比べて / 《関係代名詞的に用いて》…『よりも』 / 《other,otherwise,else,different などの後に用いて》…より(ほかの,ほかに) / 《rather,sooner などの後に用いて》…『よりむしろ,』…するくらいなら / 《話》《hardly, scarcely の後に用いて》=when,before / 《文》《通例 than whom の形で》…より[も] / 《話》《比較級の後に用いて》…より,に比べて",ðæ’n
our,"『我々の』,『私たちの』 / 《社説・評論などでmyの代りに用いて》我々の,我が社の;当…の / 《話題の人を指して》例の,我が / 《君主が公式の場でmyの代りに用いて》我が,余の",áuər
some,"《複数名詞または数えられない名詞を伴って》『いくらかの』,多少の,少しの・《複数名詞または数えられない名詞を伴って》『一部の』,中には[…もある],…である[ものもある] ・《単数普通名詞を伴って》『ある』…,何か[の],どこか[の] / 《数詞を伴って》『約』…,…くらいの,…ばかり・《数量を表す名詞を伴って》相当多い,かなりの・《話》たいした,相当な,なかなかの・『いくらか』,多少,少し,幾分・『ある人たち,あるもの』,[…する人]もある・いくらか,多少,少しは(somewhat) ・かなり,相当",sʌ’m
very,"《副詞・形容詞・分詞形容詞を強めて》『非常に』,とても,たいへん,きわめて / 《否定語と共に用いて》『あまり』,さほど,たいして(…でない) / 《same, opposite, [one’s]ownなどの前で》『真に,まったく』,ほんとうに / 《古》まったくの,本物の,真の / 《the(this,that,one’s)~》『まさにその』,ちょうどその / 《the(one’s)~》ただ…だけで(mere);(…)でさえ,までも(even)",véri
